01,10
001,001,110
011,101,110
0001,0001,0001,1110
0011,0001,1000,1100
0011,0001,1001,1110
0011,0011,1100,1100
0011,0011,1101,1110
0111,1011,1101,1110
00001,00001,00001,00001,11110
00011,00001,00001,10000,11100
00011,00001,00001,10001,11110
00011,00010,00001,11001,10110
00011,00011,00001,11000,11100
00011,00011,00001,11001,11110
00011,00011,00011,11100,11100
00011,00011,00011,11101,11110
00101,00011,10000,01000,11000
00101,00011,10001,01000,11100
00101,00011,10001,01001,11110
00111,00001,10011,10100,11100
00111,00001,10011,10101,11110
00110,00011,10001,11000,01100
00111,00011,10001,11000,11100
00111,00011,10001,11001,11110
00111,00011,10011,11101,11110
00111,00111,11001,11000,11100
00111,00111,11001,11001,11110
00111,00111,11011,11101,11110
01111,10111,11011,11101,11110
000001,000001,000001,000001,000001,111110
000011,000001,000001,000001,100000,111100
000011,000001,000001,000001,100001,111110
000010,000010,000001,000001,110001,001110
000011,000010,000001,000001,110000,101100
000011,000010,000001,000001,110001,101110
000011,000011,000001,000001,110000,111100
000011,000011,000001,000001,110001,111110
000011,000011,000010,000001,111000,110100
000011,000011,000010,000001,111001,110110
000011,000011,000011,000001,111000,111100
000011,000011,000011,000001,111001,111110
000011,000011,000011,000011,111100,111100
000011,000011,000011,000011,111101,111110
000101,000011,000001,100000,010000,111000
000101,000011,000001,100001,010000,111100
000101,000011,000001,100001,010001,111110
000101,000010,000010,100001,011001,100110
000101,000011,000010,100000,011000,110000
000101,000011,000010,100000,011001,110010
000101,000011,000010,100001,011000,110100
000101,000011,000010,100001,011001,110110
000101,000011,000011,100000,011000,111000
000101,000011,000011,100000,011001,111010
000101,000011,000011,100001,011000,111100
000101,000011,000011,100001,011001,111110
000111,000001,000001,100011,100100,111100
000111,000001,000001,100011,100101,111110
000110,000011,000001,100001,110000,011100
000111,000010,000001,100000,110001,101010
000111,000011,000001,100000,110000,111000
000111,000011,000001,100000,110001,111010
000111,000011,000001,100001,110000,111100
000111,000011,000001,100001,110001,111110
000111,000010,000001,100011,110101,101110
000111,000011,000001,100011,110100,111100
000111,000011,000001,100011,110101,111110
000110,000011,000011,100001,111000,011100
000110,000011,000011,100001,111001,011110
000111,000011,000010,100001,111001,110110
000111,000011,000011,100000,111001,111010
000111,000011,000011,100001,111000,111100
000111,000011,000011,100001,111001,111110
000111,000011,000011,100011,111100,111100
000111,000011,000011,100011,111101,111110
000110,000101,000010,110001,101001,010110
000110,000101,000011,110000,101000,011000
000110,000101,000011,110001,101000,011100
000110,000101,000011,110001,101001,011110
000111,000100,000010,110001,101001,100110
000111,000100,000011,110001,101000,101100
000111,000101,000010,110001,101001,110110
000111,000101,000011,110000,101000,111000
000111,000101,000011,110001,101000,111100
000111,000101,000011,110001,101001,111110
000110,000101,000011,110011,101101,011110
000111,000101,000011,110011,101100,111100
000111,000101,000011,110011,101101,111110
000111,000111,000001,110000,110000,111000
000111,000111,000001,110001,110000,111100
000111,000111,000001,110001,110001,111110
000111,000110,000001,110011,110101,101110
000111,000111,000001,110011,110100,111100
000111,000111,000001,110011,110101,111110
000111,000111,000010,110001,111000,110100
000111,000111,000011,110000,111000,111000
000111,000111,000011,110000,111001,111010
000111,000111,000011,110001,111000,111100
000111,000111,000011,110001,111001,111110
000111,000111,000011,110011,111101,111110
000111,000111,000110,111001,111001,110110
000111,000111,000111,111000,111000,111000
000111,000111,000111,111001,111000,111100
000111,000111,000111,111001,111001,111110
000111,000111,000111,111011,111101,111110
001011,000101,100010,010001,101000,110100
001011,000101,100011,010000,101000,111000
001011,000101,100011,010000,101001,111010
001011,000101,100011,010001,101000,111100
001011,000101,100011,010001,101001,111110
001011,000110,100011,010001,111001,101110
001011,000111,100010,010001,111000,110100
001011,000111,100010,010001,111001,110110
001011,000111,100011,010000,111001,111010
001011,000111,100011,010001,111000,111100
001011,000111,100011,010001,111001,111110
001011,000111,100011,010011,111100,111100
001011,000111,100011,010011,111101,111110
001111,000001,100111,101011,101100,111100
001111,000001,100111,101011,101101,111110
001111,000011,100111,101000,111001,111010
001111,000011,100111,101001,111000,111100
001111,000011,100111,101001,111001,111110
001111,000011,100111,101011,111101,111110
001101,000111,100010,110001,011000,110100
001101,000111,100011,110000,011000,111000
001101,000111,100011,110001,011000,111100
001101,000111,100011,110001,011001,111110
001110,000111,100011,110001,111000,011100
001111,000111,100010,110001,111001,110110
001111,000111,100011,110001,111000,111100
001111,000111,100011,110001,111001,111110
001111,000111,100011,110011,111101,111110
001111,000111,100111,111011,111101,111110
001111,001110,110011,110001,111001,101110
001111,001111,110011,110000,111001,111010
001111,001111,110011,110001,111000,111100
001111,001111,110011,110001,111001,111110
001111,001111,110011,110011,111100,111100
001111,001111,110011,110011,111101,111110
001111,001111,110111,111011,111101,111110
011111,101111,110111,111011,111101,111110
0000001,0000001,0000001,0000001,0000001,0000001,1111110
0000011,0000001,0000001,0000001,0000001,1000000,1111100
0000011,0000001,0000001,0000001,0000001,1000001,1111110
0000010,0000010,0000001,0000001,0000001,1100001,0011110
0000011,0000010,0000001,0000001,0000001,1100000,1011100
0000011,0000010,0000001,0000001,0000001,1100001,1011110
0000011,0000011,0000001,0000001,0000001,1100000,1111100
0000011,0000011,0000001,0000001,0000001,1100001,1111110
0000011,0000010,0000010,0000001,0000001,1110000,1001100
0000011,0000010,0000010,0000001,0000001,1110001,1001110
0000011,0000011,0000010,0000001,0000001,1110000,1101100
0000011,0000011,0000010,0000001,0000001,1110001,1101110
0000011,0000011,0000011,0000001,0000001,1110000,1111100
0000011,0000011,0000011,0000001,0000001,1110001,1111110
0000011,0000011,0000011,0000010,0000001,1111000,1110100
0000011,0000011,0000011,0000010,0000001,1111001,1110110
0000011,0000011,0000011,0000011,0000001,1111000,1111100
0000011,0000011,0000011,0000011,0000001,1111001,1111110
0000011,0000011,0000011,0000011,0000011,1111100,1111100
0000011,0000011,0000011,0000011,0000011,1111101,1111110
0000101,0000011,0000001,0000001,1000000,0100000,1111000
0000101,0000011,0000001,0000001,1000001,0100000,1111100
0000101,0000011,0000001,0000001,1000001,0100001,1111110
0000101,0000010,0000010,0000001,1000000,0110001,1001010
0000101,0000010,0000010,0000001,1000001,0110001,1001110
0000101,0000011,0000010,0000001,1000000,0110000,1101000
0000101,0000011,0000010,0000001,1000000,0110001,1101010
0000101,0000011,0000010,0000001,1000001,0110000,1101100
0000101,0000011,0000010,0000001,1000001,0110001,1101110
0000101,0000011,0000011,0000001,1000000,0110000,1111000
0000101,0000011,0000011,0000001,1000000,0110001,1111010
0000101,0000011,0000011,0000001,1000001,0110000,1111100
0000101,0000011,0000011,0000001,1000001,0110001,1111110
0000101,0000011,0000010,0000010,1000001,0111000,1100100
0000101,0000011,0000010,0000010,1000001,0111001,1100110
0000101,0000011,0000011,0000010,1000000,0111000,1110000
0000101,0000011,0000011,0000010,1000000,0111001,1110010
0000101,0000011,0000011,0000010,1000001,0111000,1110100
0000101,0000011,0000011,0000010,1000001,0111001,1110110
0000101,0000011,0000011,0000011,1000000,0111000,1111000
0000101,0000011,0000011,0000011,1000000,0111001,1111010
0000101,0000011,0000011,0000011,1000001,0111000,1111100
0000101,0000011,0000011,0000011,1000001,0111001,1111110
0000111,0000001,0000001,0000001,1000010,1000100,1111000
0000111,0000001,0000001,0000001,1000011,1000100,1111100
0000111,0000001,0000001,0000001,1000011,1000101,1111110
0000110,0000011,0000001,0000001,1000000,1100000,0111000
0000110,0000011,0000001,0000001,1000001,1100000,0111100
0000111,0000010,0000001,0000001,1000000,1100001,1011010
0000111,0000010,0000001,0000001,1000001,1100000,1011100
0000111,0000011,0000001,0000001,1000000,1100000,1111000
0000111,0000011,0000001,0000001,1000000,1100001,1111010
0000111,0000011,0000001,0000001,1000001,1100000,1111100
0000111,0000011,0000001,0000001,1000001,1100001,1111110
0000111,0000010,0000001,0000001,1000011,1100100,1011100
0000111,0000010,0000001,0000001,1000011,1100101,1011110
0000111,0000011,0000001,0000001,1000010,1100100,1111000
0000111,0000011,0000001,0000001,1000010,1100101,1111010
0000111,0000011,0000001,0000001,1000011,1100100,1111100
0000111,0000011,0000001,0000001,1000011,1100101,1111110
0000110,0000011,0000010,0000001,1000001,1110000,0101100
0000110,0000011,0000010,0000001,1000001,1110001,0101110
0000110,0000011,0000011,0000001,1000001,1110000,0111100
0000110,0000011,0000011,0000001,1000001,1110001,0111110
0000111,0000010,0000010,0000001,1000001,1110001,1001110
0000111,0000011,0000010,0000001,1000000,1110001,1101010
0000111,0000011,0000010,0000001,1000001,1110000,1101100
0000111,0000011,0000010,0000001,1000001,1110001,1101110
0000111,0000011,0000011,0000001,1000000,1110000,1111000
0000111,0000011,0000011,0000001,1000000,1110001,1111010
0000111,0000011,0000011,0000001,1000001,1110000,1111100
0000111,0000011,0000011,0000001,1000001,1110001,1111110
0000111,0000011,0000010,0000001,1000011,1110100,1101100
0000111,0000011,0000010,0000001,1000011,1110101,1101110
0000111,0000011,0000011,0000001,1000011,1110100,1111100
0000111,0000011,0000011,0000001,1000011,1110101,1111110
0000110,0000011,0000011,0000011,1000001,1111000,0111100
0000110,0000011,0000011,0000011,1000001,1111001,0111110
0000111,0000011,0000011,0000010,1000001,1111000,1110100
0000111,0000011,0000011,0000010,1000001,1111001,1110110
0000111,0000011,0000011,0000011,1000000,1111000,1111000
0000111,0000011,0000011,0000011,1000000,1111001,1111010
0000111,0000011,0000011,0000011,1000001,1111000,1111100
0000111,0000011,0000011,0000011,1000001,1111001,1111110
0000111,0000011,0000011,0000011,1000011,1111100,1111100
0000111,0000011,0000011,0000011,1000011,1111101,1111110
0000100,0000100,0000011,0000011,1100001,0011000,0011100
0000101,0000100,0000010,0000010,1100001,0011001,1000110
0000101,0000100,0000011,0000010,1100001,0011000,1010100
0000101,0000100,0000011,0000010,1100001,0011001,1010110
0000101,0000100,0000011,0000011,1100001,0011000,1011100
0000101,0000101,0000010,0000010,1100001,0011001,1100110
0000101,0000101,0000011,0000010,1100000,0011000,1110000
0000101,0000101,0000011,0000010,1100001,0011000,1110100
0000101,0000101,0000011,0000010,1100001,0011001,1110110
0000101,0000101,0000011,0000011,1100000,0011000,1111000
0000101,0000101,0000011,0000011,1100001,0011000,1111100
0000101,0000101,0000011,0000011,1100001,0011001,1111110
0000101,0000100,0000011,0000010,1100011,0011101,1010110
0000101,0000100,0000011,0000011,1100011,0011100,1011100
0000101,0000101,0000010,0000010,1100011,0011101,1100110
0000101,0000101,0000011,0000010,1100011,0011100,1110100
0000101,0000101,0000011,0000010,1100011,0011101,1110110
0000101,0000101,0000011,0000011,1100010,0011100,1111000
0000101,0000101,0000011,0000011,1100011,0011100,1111100
0000101,0000101,0000011,0000011,1100011,0011101,1111110
0000110,0000100,0000010,0000001,1100001,1010001,0001110
0000110,0000100,0000011,0000001,1100001,1010000,0011100
0000110,0000101,0000010,0000001,1100001,1010001,0101110
0000110,0000101,0000011,0000001,1100000,1010000,0111000
0000110,0000101,0000011,0000001,1100001,1010000,0111100
0000110,0000101,0000011,0000001,1100001,1010001,0111110
0000111,0000100,0000010,0000001,1100001,1010001,1001110
0000111,0000100,0000011,0000001,1100001,1010000,1011100
0000111,0000101,0000010,0000001,1100001,1010000,1101100
0000111,0000101,0000010,0000001,1100001,1010001,1101110
0000111,0000101,0000011,0000001,1100000,1010000,1111000
0000111,0000101,0000011,0000001,1100001,1010000,1111100
0000111,0000101,0000011,0000001,1100001,1010001,1111110
0000110,0000101,0000011,0000001,1100011,1010100,0111100
0000110,0000101,0000011,0000001,1100011,1010101,0111110
0000111,0000100,0000010,0000001,1100011,1010101,1001110
0000111,0000100,0000011,0000001,1100011,1010100,1011100
0000111,0000101,0000010,0000001,1100011,1010100,1101100
0000111,0000101,0000010,0000001,1100011,1010101,1101110
0000111,0000101,0000011,0000001,1100010,1010100,1111000
